"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Ellaway R.H.","Ellaway, Rachel H. (24467222700)","24467222700","Historicity and the impossible present","2024","Advances in Health Sciences Education","29","2","","361","365","4","2","10.1007/s10459-024-10330-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191804667&doi=10.1007%2fs10459-024-10330-6&partnerID=40&md5=b8a46682449ce8f5e612c4f0d1a729c5","Department of Community Health Sciences and Office of Health and Medical Education Scholarship, Cumming School of Medicine, University of Calgary, Calgary, AB, Canada","Ellaway R.H., Department of Community Health Sciences and Office of Health and Medical Education Scholarship, Cumming School of Medicine, University of Calgary, Calgary, AB, Canada","In this editorial the editor considers issues of historicity (understanding things in their historical context) in health professions education and the sciences thereof, and argues for more attention to historical and other contextual factors in creating and appraising the research literature. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.","Editorial","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85191804667"
"Medina-Córdoba M.; Cadavid S.; Espinosa-Aranzales A.-F.; Aguía-Rojas K.; Bermúdez-Hernández P.A.; Quiroga-Torres D.-A.; Rodríguez-Dueñas W.R.","Medina-Córdoba, Mariana (57358984400); Cadavid, Sara (54895995800); Espinosa-Aranzales, Angela-Fernanda (54793026800); Aguía-Rojas, Karen (57115549400); Bermúdez-Hernández, Pablo Andrés (57202266642); Quiroga-Torres, Daniel-Alejandro (56904191000); Rodríguez-Dueñas, William R. (58252580600)","57358984400; 54895995800; 54793026800; 57115549400; 57202266642; 56904191000; 58252580600","The effect of interprofessional education on the work environment of health professionals: a scoping review","2024","Advances in Health Sciences Education","29","4","","1463","1480","17","1","10.1007/s10459-023-10300-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178229964&doi=10.1007%2fs10459-023-10300-4&partnerID=40&md5=fdf905b0d4d9bf986a9c94d86a60990f","School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Program of Psychology, People, Family and Society Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Program of Nursing, Public Health Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Program of Occupational Therapy, Rehabilitation Science Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Program of Medicine, Medical and Health Sciences Education Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Program of Biomedical Engineering, Gibiome Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Electronics Engineering Department, Bioengineering Signal Analysis and Image Processing Research Group, Pontificia Universidad Javeriana, Bogota, Colombia","Medina-Córdoba M., School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Cadavid S., Program of Psychology, People, Family and Society Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Espinosa-Aranzales A.-F., Program of Nursing, Public Health Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Aguía-Rojas K., Program of Occupational Therapy, Rehabilitation Science Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Bermúdez-Hernández P.A., Program of Medicine, Medical and Health Sciences Education Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Quiroga-Torres D.-A., Program of Biomedical Engineering, Gibiome Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia; Rodríguez-Dueñas W.R., Program of Biomedical Engineering, Gibiome Research Group, School of Medicine and Health Sciences, Universidad del Rosario, Bogota, Colombia, Electronics Engineering Department, Bioengineering Signal Analysis and Image Processing Research Group, Pontificia Universidad Javeriana, Bogota, Colombia","To explore the existing literature on the effect of Interprofessional Education (IPE) on the work environment of health professionals. The research question was systematized according to the PCC (Population, Concept, and Context) format. A scoping review was performed. A search of multiple bibliographic databases identified 407 papers, of which 21 met the inclusion criteria. The populations of the 21 studies reviewed were composed of professionals in the fields of medicine, nursing, psychology, occupational therapy, physiotherapy, and social work, among others. The study contexts were both academic and nonacademic hospitals, mental health institutions, and community settings, and the topics examined were organizational climate, organizational culture, organizational attachment and job satisfaction. The findings from the reviewed studies showed positive effects of IPE interventions on organizational climate and culture, but the results on job satisfaction and organizational attachment were mixed (i.e., positive and no effects following IPE interventions). Research on IPE is worth more attention as IPE could be an effective alternative for the fulfillment of the Quadruple Aim and achieving the third of the United Nations Sustainable Development Goals, aimed at improving health and well-being. It seems critical for IPE to be positioned as a trend in global health, aiming at boosting human health resources as one of its building blocks and calling the attention of health decision-makers. © The Author(s) 2023.","Review","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85178229964"
"Korteland R.-J.; Kok E.; Hulshof C.; van Gog T.","Korteland, Robert-Jan (58979330800); Kok, Ellen (55326065500); Hulshof, Casper (8859534400); van Gog, Tamara (57200815707)","58979330800; 55326065500; 8859534400; 57200815707","Teaching through their eyes: effects on optometry teachers’ adaptivity and students’ learning when teachers see students’ gaze","2024","Advances in Health Sciences Education","29","5","","1735","1748","13","1","10.1007/s10459-024-10325-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189953616&doi=10.1007%2fs10459-024-10325-3&partnerID=40&md5=dbe6057420c74cccfd01f0fb35022c2e","Department of Education, Utrecht University, Utrecht, 3508 CS, Netherlands","Korteland R.-J., Department of Education, Utrecht University, Utrecht, 3508 CS, Netherlands; Kok E., Department of Education, Utrecht University, Utrecht, 3508 CS, Netherlands; Hulshof C., Department of Education, Utrecht University, Utrecht, 3508 CS, Netherlands; van Gog T., Department of Education, Utrecht University, Utrecht, 3508 CS, Netherlands","Adaptive teacher support fosters effective learning in one-to-one teaching sessions, which are a common way of learning complex visual tasks in the health sciences. Adaptive support is tailored to student needs, and this is difficult in complex visual tasks as visual problem-solving processes are covert and thus cannot be directly observed by the teacher. Eye-tracking apparatus can measure covert processes and make them visible in gaze displays: visualizations of where a student looks while executing a task. We investigate whether live dynamic gaze displays help teachers in being more adaptive to students’ needs when teaching optical coherence tomography interpretation in one-to-one teaching sessions and whether this fosters learning. Forty-nine students and 10 teachers participated in a one-to-one teaching session in clinical optometry. In the control condition, teachers saw the learning task of the student and could discuss it with them, whereas in the gaze-display condition, teachers could additionally see where the student looked. After the 15-minute teaching session, a test was administered to examine achievement. Furthermore, students filled in the ‘questionnaire on teacher support adaptivity’, and teachers rated how adaptive their support was. Bayesian analyses provide some initial evidence that students did not experience support to be more adaptive in the gaze-display condition versus the control condition, nor were their post-test scores higher. Teachers rated their provided support as being more adaptive in the gaze-display versus the control condition. Further research could investigate if live dynamic gaze displays impact adaptive teaching when used over longer periods or with more teacher training. © The Author(s) 2024.","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85189953616"
"Barber C.; van der Vleuten C.; Chahine S.","Barber, Cassandra (57201318378); van der Vleuten, Cees (7007111210); Chahine, Saad (55058611600)","57201318378; 7007111210; 55058611600","Validity evidence and psychometric evaluation of a socially accountable health index for health professions schools","2024","Advances in Health Sciences Education","29","1","","147","172","25","1","10.1007/s10459-023-10248-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85162653873&doi=10.1007%2fs10459-023-10248-5&partnerID=40&md5=80510f058d89ebf7277a200317340ad9","School of Health Professions Education (SHE), Faculty of Health, Medicine and Life Sciences, Maastricht University, Maastricht, Netherlands; Faculty of Education, Queen’s University, Kingston, ON, Canada","Barber C., School of Health Professions Education (SHE), Faculty of Health, Medicine and Life Sciences, Maastricht University, Maastricht, Netherlands; van der Vleuten C., School of Health Professions Education (SHE), Faculty of Health, Medicine and Life Sciences, Maastricht University, Maastricht, Netherlands; Chahine S., Faculty of Education, Queen’s University, Kingston, ON, Canada","There is an expectation that health professions schools respond to priority societal health needs. This expectation is largely based on the underlying assumption that schools are aware of the priority needs in their communities. This paper demonstrates how open-access, pan-national health data can be used to create a reliable health index to assist schools in identifying societal needs and advance social accountability in health professions education. Using open-access data, a psychometric evaluation was conducted to examine the reliability and validity of the Canadian Health Indicators Framework (CHIF) conceptual model. A non-linear confirmatory factor analysis (CFA) on 67 health indicators, at the health-region level (n = 97) was used to assess the model fit of the hypothesized 10-factor model. Reliability analysis using McDonald’s Omega were conducted, followed by Pearson’s correlation coefficients. Findings from the non-linear CFA rejected the original conceptual model structure of the CHIF. Exploratory post hoc analyses were conducted using modification indices and parameter constraints to improve model fit. A final 5-factor multidimensional model demonstrated superior fit, reducing the number of indicators from 67 to 32. The 5-factors included: Health Conditions (8-indicators); Health Functions (6-indicators); Deaths (5-indicators); Non-Medical Health Determinants (7-indicators); and Community & Health System Characteristics (6-indicators). All factor loadings were statistically significant (p < 0.001) and demonstrated excellent internal consistency (ω >0.95). Many schools struggle to identify and measure socially accountable outcomes. The process highlighted in this paper and the indices developed serve as starting points to allow schools to leverage open-access data as an initial step in identifying societal needs. © The Author(s) 2023.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85162653873"
"Giroux C.M.; Kim S.; Sikora L.; Bussières A.; Thomas A.","Giroux, Catherine M. (57197848776); Kim, Sungha (57257963500); Sikora, Lindsey (55951712000); Bussières, André (23059379700); Thomas, Aliki (8847131700)","57197848776; 57257963500; 55951712000; 23059379700; 8847131700","Social media as a mechanism of dissemination and knowledge translation among health professions educators: a scoping review","2024","Advances in Health Sciences Education","29","3","","993","1023","30","2","10.1007/s10459-023-10294-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174387098&doi=10.1007%2fs10459-023-10294-z&partnerID=40&md5=79dbbdedd9341660c3ee53a60324ea9f","Institute of Health Sciences Education, School of Physical and Occupational Therapy, McGill University, 3654 Prom Sir-William-Osler, Montreal, H3G 1Y5, QC, Canada; Centre de Recherche Interdisciplinaire en Readaptation (CRIR), Montreal, Canada; Health Sciences Library, University of Ottawa, Ottawa, ON, Canada; Department of Chiropractic, Université du Québec à Trois-Rivières, Trois-Rivières, QC, Canada","Giroux C.M., Institute of Health Sciences Education, School of Physical and Occupational Therapy, McGill University, 3654 Prom Sir-William-Osler, Montreal, H3G 1Y5, QC, Canada, Centre de Recherche Interdisciplinaire en Readaptation (CRIR), Montreal, Canada; Kim S., Institute of Health Sciences Education, School of Physical and Occupational Therapy, McGill University, 3654 Prom Sir-William-Osler, Montreal, H3G 1Y5, QC, Canada, Centre de Recherche Interdisciplinaire en Readaptation (CRIR), Montreal, Canada; Sikora L., Health Sciences Library, University of Ottawa, Ottawa, ON, Canada; Bussières A., Institute of Health Sciences Education, School of Physical and Occupational Therapy, McGill University, 3654 Prom Sir-William-Osler, Montreal, H3G 1Y5, QC, Canada, Centre de Recherche Interdisciplinaire en Readaptation (CRIR), Montreal, Canada, Department of Chiropractic, Université du Québec à Trois-Rivières, Trois-Rivières, QC, Canada; Thomas A., Institute of Health Sciences Education, School of Physical and Occupational Therapy, McGill University, 3654 Prom Sir-William-Osler, Montreal, H3G 1Y5, QC, Canada, Centre de Recherche Interdisciplinaire en Readaptation (CRIR), Montreal, Canada","Health professions educators often use social media to share knowledge; however, it is unclear what specific dissemination and knowledge translation (KT) processes are occurring and the implications of this sharing for health professions education (HPE). This study explored how educators have used social media as a mechanism of dissemination and KT in the literature. A critical scoping review methodology, informed by Engeström’s Activity Theory, was employed. Twelve databases were searched and studies that: (a) addressed health professions educators; (b) described the use of social media for dissemination or KT; (c) focused on a regulated health profession; (d) focused on undergraduate or graduate education; and (e) were published in English or French between 2011 and 2021 were included. Data were analyzed using numerical and qualitative content analyses. Of the 4859 articles screened, 37 were eligible for inclusion. Social media may facilitate knowledge sharing in HPE, but there is a lack of conceptual clarity on what is meant by ‘dissemination’ and ‘KT’. Who is responsible for sharing knowledge, what knowledge is being shared, and the target audiences are not always clear. Multiple factors (e.g., affordances, opportunity costs) influence how social media is used as a mechanism of dissemination, and it remains unclear whether and how it is used as a mechanism of KT. Concepts like KT and dissemination, which are often borrowed from other disciplines, must be critically evaluated for their relevance and suitability if they are to be appropriately applied to HPE and in particular to social media. Educators looking to use social media to teach students about KT should consider whether this use of technology truly aligns with their stated learning outcomes. © The Author(s), under exclusive licence to Springer Nature B.V. 2023.","Review","Final","","Scopus","2-s2.0-85174387098"
"Wood T.J.; Daniels V.J.; Pugh D.; Touchie C.; Halman S.; Humphrey-Murto S.","Wood, Timothy J. (7402253416); Daniels, Vijay J. (45161178500); Pugh, Debra (56037499300); Touchie, Claire (6505979838); Halman, Samantha (8244968700); Humphrey-Murto, Susan (6507982564)","7402253416; 45161178500; 56037499300; 6505979838; 8244968700; 6507982564","Implicit versus explicit first impressions in performance-based assessment: will raters overcome their first impressions when learner performance changes?","2024","Advances in Health Sciences Education","29","4","","1155","1168","13","1","10.1007/s10459-023-10302-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177731467&doi=10.1007%2fs10459-023-10302-2&partnerID=40&md5=2cfc93262df84ceabcf6412c338e7d02","Faculty of Medicine, University of Ottawa, 850 Peter Morand Crescent, Ottawa, K1G-5Z3, ON, Canada; Department of Medicine, The Ottawa Hospital, Ottawa, Canada; Department of Medicine, Faculty of Medicine and Dentistry, University of Alberta, Edmonton, Canada; Medical Council of Canada, Ottawa, Canada","Wood T.J., Faculty of Medicine, University of Ottawa, 850 Peter Morand Crescent, Ottawa, K1G-5Z3, ON, Canada; Daniels V.J., Department of Medicine, Faculty of Medicine and Dentistry, University of Alberta, Edmonton, Canada; Pugh D., Faculty of Medicine, University of Ottawa, 850 Peter Morand Crescent, Ottawa, K1G-5Z3, ON, Canada, Department of Medicine, The Ottawa Hospital, Ottawa, Canada, Medical Council of Canada, Ottawa, Canada; Touchie C., Faculty of Medicine, University of Ottawa, 850 Peter Morand Crescent, Ottawa, K1G-5Z3, ON, Canada, Department of Medicine, The Ottawa Hospital, Ottawa, Canada; Halman S., Faculty of Medicine, University of Ottawa, 850 Peter Morand Crescent, Ottawa, K1G-5Z3, ON, Canada, Department of Medicine, The Ottawa Hospital, Ottawa, Canada; Humphrey-Murto S., Faculty of Medicine, University of Ottawa, 850 Peter Morand Crescent, Ottawa, K1G-5Z3, ON, Canada, Department of Medicine, The Ottawa Hospital, Ottawa, Canada","First impressions can influence rater-based judgments but their contribution to rater bias is unclear. Research suggests raters can overcome first impressions in experimental exam contexts with explicit first impressions, but these findings may not generalize to a workplace context with implicit first impressions. The study had two aims. First, to assess if first impressions affect raters’ judgments when workplace performance changes. Second, whether explicitly stating these impressions affects subsequent ratings compared to implicitly-formed first impressions. Physician raters viewed six videos where learner performance either changed (Strong to Weak or Weak to Strong) or remained consistent. Raters were assigned two groups. Group one (n = 23, Explicit) made a first impression global rating (FIGR), then scored learners using the Mini-CEX. Group two (n = 22, Implicit) scored learners at the end of the video solely with the Mini-CEX. For the Explicit group, in the Strong to Weak condition, the FIGR (M = 5.94) was higher than the Mini-CEX Global rating (GR) (M = 3.02, p <.001). In the Weak to Strong condition, the FIGR (M = 2.44) was lower than the Mini-CEX GR (M = 3.96 p <.001). There was no difference between the FIGR and the Mini-CEX GR in the consistent condition (M = 6.61, M = 6.65 respectively, p =.84). There were no statistically significant differences in any of the conditions when comparing both groups’ Mini-CEX GR. Therefore, raters adjusted their judgments based on the learners’ performances. Furthermore, raters who made their first impressions explicit showed similar rater bias to raters who followed a more naturalistic process. © The Author(s), under exclusive licence to Springer Nature B.V. 2023.","Article","Final","","Scopus","2-s2.0-85177731467"
"Noya F.C.; Carr S.E.; Thompson S.C.","Noya, Farah C. (57188720856); Carr, Sandra E. (7202363618); Thompson, Sandra C. (7403233191)","57188720856; 7202363618; 7403233191","Expert consensus on the attributes and competencies required for rural and remote junior physicians to work effectively in isolated indonesian communities","2024","Advances in Health Sciences Education","29","2","","587","609","22","3","10.1007/s10459-023-10275-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167398381&doi=10.1007%2fs10459-023-10275-2&partnerID=40&md5=32af6c238334f3ba97cfc5c1b209eceb","Division of Health Professions Education, School of Allied Health, The University of Western Australia, Perth, Australia; Medical Education Unit, Faculty of Medicine, Universitas Pattimura, Ambon, Indonesia; Western Australian Centre for Rural Health, The University of Western Australia, Geraldton, Australia","Noya F.C., Division of Health Professions Education, School of Allied Health, The University of Western Australia, Perth, Australia, Medical Education Unit, Faculty of Medicine, Universitas Pattimura, Ambon, Indonesia; Carr S.E., Division of Health Professions Education, School of Allied Health, The University of Western Australia, Perth, Australia; Thompson S.C., Western Australian Centre for Rural Health, The University of Western Australia, Geraldton, Australia","Indonesian physicians working in rural and remote areas must be equipped not only with generic competencies but also with the attributes and skills necessary to provide health care services without compromising quality. This study sought to reach a consensus on the attributes and competencies that are viewed as essential and important for working effectively as an early career doctor in rural and remote practice in Indonesia. A two-round Delphi study was conducted by reference to 27 consenting physicians working in rural and remote Indonesia. Forty-three items covering 9 attributes and 34 competencies were sent to these physicians to be rated on a Likert scale ranging from 1 to 5 in terms of their importance for effective rural and remote practice. Nine attributes and 29 competencies progressed to Round 2. All nine attributes and 29 competencies were identified as essential or important for junior physicians’ ability to be effective in their practice. The essential attributes included professional quality related to prioritising the rural community. The essential competencies included medical skills, professional behaviour, interprofessional skills, health promotion and connection to the rural community. The consensus thus reached on these essential and important attributes and competencies can inform curriculum development for the undergraduate and postgraduate training of junior rural and remote physicians. © The Author(s) 2023.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85167398381"
"Leite-Mendes F.; Delgado L.; Ferreira A.; Severo M.","Leite-Mendes, Filipe (58814501600); Delgado, Luis (57200560783); Ferreira, Amelia (58419552300); Severo, Milton (6508324341)","58814501600; 57200560783; 58419552300; 6508324341","The effect of the attitude towards risk/ambiguity on examination grades: cross-sectional study in a Portuguese medical school","2024","Advances in Health Sciences Education","29","4","","1309","1321","12","2","10.1007/s10459-023-10305-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182458869&doi=10.1007%2fs10459-023-10305-z&partnerID=40&md5=071ea7e6ec3e8519b36e321331ad672c","Faculty of Medicine, University of Porto, Rua Hernani Torres, 247, 8º DRT FRT. 4200-320, Porto, Portugal; Department of Pathology, Basic and Clinical Immunology, Faculty of Medicine, University of Porto, Porto, Portugal; Immunoallergology Unit, University Hospital Centre of São João, Porto, Portugal; Epidemiology Research Unit, Institute of Public Health (EPIUnit), University of Porto, Porto, Portugal; ICBAS - School of Medicine and Biomedical Sciences, University of Porto, Porto, Portugal","Leite-Mendes F., Faculty of Medicine, University of Porto, Rua Hernani Torres, 247, 8º DRT FRT. 4200-320, Porto, Portugal; Delgado L., Department of Pathology, Basic and Clinical Immunology, Faculty of Medicine, University of Porto, Porto, Portugal, Immunoallergology Unit, University Hospital Centre of São João, Porto, Portugal; Ferreira A., Faculty of Medicine, University of Porto, Rua Hernani Torres, 247, 8º DRT FRT. 4200-320, Porto, Portugal; Severo M., Epidemiology Research Unit, Institute of Public Health (EPIUnit), University of Porto, Porto, Portugal, ICBAS - School of Medicine and Biomedical Sciences, University of Porto, Porto, Portugal","Given the high prevalence of multiple-choice examinations with formula scoring in medical training, several studies have tried to identify other factors in addition to the degree of knowledge of students which influence their response patterns. This study aims to measure the effect of students’ attitude towards risk and ambiguity on their number of correct, wrong, and blank answers. In October 2018, 233 3rd year medical students from the Faculty of Medicine of the University of Porto, in Porto, Portugal, completed a questionnaire which assessed the student’s attitudes towards risk and ambiguity, and aversion to ambiguity in medicine. Simple and multiple regression models and the respective regression coefficients were used to measure the association between the students’ attitudes, and their answers in two examinations that they had taken in June 2018. Having an intermediate level of ambiguity aversion in medicine (as opposed to a very high or low level) was associated with a significant increase in the number of correct answers and decrease in the number of blank answers in the first examination. In the second examination, high levels of ambiguity aversion in medicine were associated with a decrease in the number of wrong answers. Attitude towards risk, tolerance for ambiguity, and gender did not show significant association with the number of correct, wrong, and blank answers for either examination. Students’ ambiguity aversion in medicine is correlated with their performance in multiple-choice examinations with negative marking. Therefore, it is suggested the planning and implementation of counselling sessions with medical students regarding the possible impact of ambiguity aversion on their performance in multiple-choice questions with negative marking. © The Author(s) 2024.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85182458869"
"Noushad B.; Van Gerven P.W.M.; de Bruin A.B.H.","Noushad, Babu (55173402600); Van Gerven, Pascal W. M. (6602503786); de Bruin, Anique B. H. (35965246900)","55173402600; 6602503786; 35965246900","Exploring the use of metacognitive monitoring cues following a diagram completion intervention","2024","Advances in Health Sciences Education","29","4","","1323","1351","28","1","10.1007/s10459-023-10309-9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85183401831&doi=10.1007%2fs10459-023-10309-9&partnerID=40&md5=21e2a19d4eeeecdda53192751fefd8c2","Department of Educational Development and Research, School of Health Professions Education (SHE), Maastricht University, P.O. Box 616, Maastricht, 6200 MD, Netherlands; College of Health Sciences, University of Buraimi, P.O. Box 890, Al Buraimi, PC 512, Oman","Noushad B., Department of Educational Development and Research, School of Health Professions Education (SHE), Maastricht University, P.O. Box 616, Maastricht, 6200 MD, Netherlands, College of Health Sciences, University of Buraimi, P.O. Box 890, Al Buraimi, PC 512, Oman; Van Gerven P.W.M., Department of Educational Development and Research, School of Health Professions Education (SHE), Maastricht University, P.O. Box 616, Maastricht, 6200 MD, Netherlands; de Bruin A.B.H., Department of Educational Development and Research, School of Health Professions Education (SHE), Maastricht University, P.O. Box 616, Maastricht, 6200 MD, Netherlands","Studying texts constitutes a significant part of student learning in health professions education. Key to learning from text is the ability to effectively monitor one’s own cognitive performance and take appropriate regulatory steps for improvement. Inferential cues generated during a learning experience typically guide this monitoring process. It has been shown that interventions to assist learners in using comprehension cues improve their monitoring accuracy. One such intervention is having learners to complete a diagram. Little is known, however, about how learners use cues to shape their monitoring judgments. In addition, previous research has not examined the difference in cue use between categories of learners, such as good and poor monitors. This study explored the types and patterns of cues used by participants after being subjected to a diagram completion task prior to their prediction of performance (PoP). Participants’ thought processes were studied by means of a think-aloud method during diagram completion and the subsequent PoP. Results suggest that relying on comprehension-specific cues may lead to a better PoP. Poor monitors relied on multiple cue types and failed to use available cues appropriately. They gave more incorrect responses and made commission errors in the diagram, which likely led to their overconfidence. Good monitors, on the other hand, utilized cues that are predictive of learning from the diagram completion task and seemed to have relied on comprehension cues for their PoP. However, they tended to be cautious in their judgement, which probably made them underestimate themselves. These observations contribute to the current understanding of the use and effectiveness of diagram completion as a cue-prompt intervention and provide direction for future research in enhancing monitoring accuracy. © The Author(s) 2024.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85183401831"
"Faisal E.","Faisal, Eman (58127912200)","58127912200","Persistence as a mediator between motivation and performance accomplishment among medical students: a mixed method approach","2024","Advances in Health Sciences Education","29","5","","1549","1569","20","1","10.1007/s10459-024-10315-5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187261088&doi=10.1007%2fs10459-024-10315-5&partnerID=40&md5=ae7f67ac3767f931548580537f9b2a41","Department of Curriculum & amp; Instruction, King Saud University, Riyadh, Saudi Arabia","Faisal E., Department of Curriculum & amp; Instruction, King Saud University, Riyadh, Saudi Arabia","This study examined the relationship between motivation, performance accomplishment, and persistence as a mediator among medical students. Quantitative and qualitative data were collected through a two-stage sequential design to investigate the hypothesised model. A sample of 645 medical undergraduates participated in the quantitative stage, responding to an electronically structured questionnaire. Confirmatory factor analysis and structural equation modelling were utilised to analyse the data and assess the fit of the conceptual model. In the qualitative stage, semi-structured interviews were conducted with a purposeful sample of twelve medical students, and thematic analysis was employed to explore the qualitative findings. The results indicated a well-fitting model, with significant positive relationships observed among motivation, persistence, and performance accomplishment. Notably, including persistence as a mediator reinforced the relationship between motivation and performance achievement. The qualitative data supported and further emphasised the importance of persistence in the medical student population. The findings have practical implications for medical students, educators, and universities, highlighting the significance of promoting and enhancing learners’ persistence. Suggestions for future research include developing additional statistical models, conducting experimental studies, and undertaking longitudinal investigations. By expanding the understanding of the relationships between motivation, persistence, and performance accomplishment, future studies can contribute to developing effective interventions and strategies to support medical students in their educational journey. © The Author(s), under exclusive licence to Springer Nature B.V. 2024.","Article","Final","","Scopus","2-s2.0-85187261088"
