"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Document Type","Publication Stage","Open Access","Source","EID"
"Curran V.; Fleet L.; Whitton C.","Curran, Vernon (6701554863); Fleet, Lisa (9133134700); Whitton, Cynthia (47861555300)","6701554863; 9133134700; 47861555300","Fostering ""reflection-On-Practice"" Through a Multisource Feedback and Peer Coaching Pilot Program","2024","Journal of Continuing Education in the Health Professions","44","1","","64","70","6","1","10.1097/CEH.0000000000000483","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186105606&doi=10.1097%2fCEH.0000000000000483&partnerID=40&md5=7e855906933e917d3bc421b719179475","Office of Professional and Educational Development, Professor of Medical Education, Division of Community Health and Humanities, Faculty of Medicine, Memorial University of Newfoundland, Newfoundland, Canada; Office of Professional and Educational Development, Faculty of Medicine, Memorial University of Newfoundland, Newfoundland, Canada","Curran V., Office of Professional and Educational Development, Professor of Medical Education, Division of Community Health and Humanities, Faculty of Medicine, Memorial University of Newfoundland, Newfoundland, Canada; Fleet L., Office of Professional and Educational Development, Faculty of Medicine, Memorial University of Newfoundland, Newfoundland, Canada; Whitton C., Office of Professional and Educational Development, Faculty of Medicine, Memorial University of Newfoundland, Newfoundland, Canada","Introduction:Reflective practice involves thinking about one's practice and often involves using data to effect such reflection. Multisource feedback (MSF) involves evaluation by peers, patients, and coworkers. Coaching has been identified as a key aspect of MSF with peer coaching involving two or more colleagues working together to reflect on current practices and share ideas. We introduced a pilot MSF and peer coaching program with a goal to evaluate its effect on fostering reflective practice.Methods:Physician participants completed a 360-degree assessment of their practices, followed by peer coaching sessions. Peer coaches were oriented to an evidence-based theory-driven feedback model (R2C2) to support coaching skills development. A mixed-methods evaluation study was undertaken, including pre to post surveys of readiness for self-directed learning, a postevaluation survey of participant satisfaction, and semistructured participant interviews.Results:Thirty four (N = 34) participants completed the 360-degree assessment, and 22 participants took part in two coaching meetings. Respondents reported significant improvement to aspects of their readiness for self-directed learning (P <.05), including knowing about learning strategies to achieve key learning goals, knowing about resources to support one's own learning, and being able to evaluate one's learning outcomes. Overall, respondents felt empowered to ""reflect"" on their practices, affirm what they were doing well, and, for some, identify opportunities for further and ongoing professional development.Discussion:MSF and peer coaching emerged as key elements in enabling reflective practice by facilitating reflection on one's practice and conversations with one's peers to affirm strengths and opportunities for strengthening practice through self-directed professional development. © 2024 Lippincott Williams and Wilkins. All rights reserved.","Review","Final","","Scopus","2-s2.0-85186105606"
"Mueller S.K.; Pascal C.; Spiers J.; Seely E.W.","Mueller, Stephanie K. (54793411100); Pascal, Christina (58572789500); Spiers, John (58572913300); Seely, Ellen W. (7006603647)","54793411100; 58572789500; 58572913300; 7006603647","Implementation and Utilization of a Web-Based Departmental Annual Faculty Review Program","2023","Journal of Continuing Education in the Health Professions","43","3","","198","204","6","1","10.1097/CEH.0000000000000488","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85170709456&doi=10.1097%2fCEH.0000000000000488&partnerID=40&md5=47901b5818791d160af992f3ad4b60f7","Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States; Harvard Medical School, Boston, MA, United States","Mueller S.K., Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States, Harvard Medical School, Boston, MA, United States; Pascal C., Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States, Harvard Medical School, Boston, MA, United States; Spiers J., Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States, Harvard Medical School, Boston, MA, United States; Seely E.W., Department of Medicine, Brigham and Women's Hospital, Boston, MA, United States, Harvard Medical School, Boston, MA, United States","Supporting faculty in their professional development is a central mission of academic medical centers (AMCs), assisted by routine assessment of faculty development. However, AMCs face barriers to standard faculty assessment, particularly among large departments with diverse faculty roles. We report on the development, implementation, and utilization of a standardized, web-based faculty annual career review (FACR) process deployed within the Department of Medicine at a large AMC, composed of 22 divisions and 1400 faculty. The FACR process was developed to achieve the following goals: Creation of a trackable review of professional goals and barriers to professional development; provide longitudinal faculty reflection on professional growth; and provide data to identify faculty development needs to target initiatives. The FACR was initiated in 2008. We provide specific case examples of utilization of the FACR data for targeted faculty development initiatives, including (1) division benchmarking; (2) targeting career opportunities to individual faculty members; and (3) longitudinal data analysis of 5-year trends of FACR response, including subanalysis by gender, to target faculty development initiatives across the DOM. In summary, we demonstrate successful development, implementation, and utilization of a web-based standard faculty annual review program within a large AMC that allows for systematic evaluation and reflection of professional development by faculty members and their supervisors and allows for data collection and analysis to help target faculty development initiatives. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Article","Final","","Scopus","2-s2.0-85170709456"
"","","","Leadership, Teamwork, and the Ontological Choreography of CPD","2024","Journal of Continuing Education in the Health Professions","44","3","","151","152","1","1","10.1097/CEH.0000000000000562","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85201440068&doi=10.1097%2fCEH.0000000000000562&partnerID=40&md5=6dea827b324d833a27a5258d59e714ef","","","[No abstract available]","Editorial","Final","","Scopus","2-s2.0-85201440068"
"Tavares W.; Sockalingam S.; Soklaridis S.; Cervero R.","Tavares, Walter (14020325700); Sockalingam, Sanjeev (9045376800); Soklaridis, Sophie (18438647700); Cervero, Ronald (7005176172)","14020325700; 9045376800; 18438647700; 7005176172","Conceptual Advances in Continuing Professional Development in the Health Professions","2023","Journal of Continuing Education in the Health Professions","43","4","","S1","S3","2","1","10.1097/CEH.0000000000000542","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85179020305&doi=10.1097%2fCEH.0000000000000542&partnerID=40&md5=b16a30ba1512ff578f0a136212d71dd2","Department of Health and Society, Wilson Centre for Health Profession Education Research, University of Toronto, ON, Canada; Chief Medical Centre for Addiction and Mental Health, Department of Psychiatry, University of Toronto, Toronto, ON, Canada; Centre for Addiction and Mental Health, University of Toronto, Toronto, Canada; Center for Health Professions Education, Uniformed Services University of Health Sciences, Bethesda, MD, United States","Tavares W., Department of Health and Society, Wilson Centre for Health Profession Education Research, University of Toronto, ON, Canada; Sockalingam S., Chief Medical Centre for Addiction and Mental Health, Department of Psychiatry, University of Toronto, Toronto, ON, Canada; Soklaridis S., Centre for Addiction and Mental Health, University of Toronto, Toronto, Canada; Cervero R., Center for Health Professions Education, Uniformed Services University of Health Sciences, Bethesda, MD, United States","[No abstract available]","Editorial","Final","","Scopus","2-s2.0-85179020305"
"McMains K.C.; Durning S.J.; Meyer H.S.","McMains, Kevin C. (8888416000); Durning, Steven J. (6701319636); Meyer, Holly S. (57191279409)","8888416000; 6701319636; 57191279409","Controlled Burn: Managing the ""forest Fire"" of Leaving a Professional Identity in Medical Education","2024","Journal of Continuing Education in the Health Professions","","","","","","","0","10.1097/CEH.0000000000000576","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85205426921&doi=10.1097%2fCEH.0000000000000576&partnerID=40&md5=6f1b97647f5a5ca0395a0e12b32bb952","Department of Surgery, Uniformed Services University of the Health Sciences, Bethesda, MD, United States; Center for Health Professions Education, Uniformed Services University of the Health Sciences, Bethesda, MD, United States","McMains K.C., Department of Surgery, Uniformed Services University of the Health Sciences, Bethesda, MD, United States; Durning S.J., Center for Health Professions Education, Uniformed Services University of the Health Sciences, Bethesda, MD, United States; Meyer H.S., Center for Health Professions Education, Uniformed Services University of the Health Sciences, Bethesda, MD, United States","Introduction:Professional identity formation is central to physicians' identity over their full careers. There is little guidance within military service on how to leave careers as clinician educator faculty in graduate medical education programs. The objective of our study was to explore how leaving this community of practice (COP) affects a clinician educator's professional identity.Methods:We used reflexive thematic analysis with Communities of Practice as a sensitizing construct. Fifteen semi-structured interviews were conducted among active-duty clinician educators at the point of their retirement from the military. Interview questions focused participants' lived experiences as clinician educators and professional identity changes leading to and resulting from the decision to retire.Results:We found the clinician educators' journey through a time of professional transition led to three connected themes: Loss Precedes Growth, Fallow Season - Liminal Space, and New Growth.Discussion:The experiences of military clinician educators retiring from active duty demonstrate how leaving one COP emanates across a range of professional identities. In addition, the decision to leave a professional COP can lead to a sense of disloyalty to that community. Normalizing this transition in a way that honors the community's values offers the opportunity to enable the decision to retire. Understanding retirement as a process that first involves identity loss, followed by the discomfort of a liminal space before achieving new growth creates the opportunity to engage in rituals that celebrate the service of departing community members, releasing them to grow into new identities. © 2024 The Alliance for Continuing Education in the Health Professions, the Association for Hospital Medical Education, and the Society for Academic Continuing Medical Education. Unauthorized reproduction of this article is prohibited.","Article","Article in press","","Scopus","2-s2.0-85205426921"
"Tappen R.M.; Sopcheck J.; Southard K.; Hain D.; Suriaga A.","Tappen, Ruth M. (7003667742); Sopcheck, Janet (56471820600); Southard, Karen (59142262000); Hain, Debra (24178212700); Suriaga, Armiel (57930123700)","7003667742; 56471820600; 59142262000; 24178212700; 57930123700","Regional Workshops to Disseminate Decision Guide to Reduce Potentially Preventable Hospital Transfers: Application of the Diffusion of Innovation Model","2024","Journal of Continuing Education in the Health Professions","44","2","","97","104","7","0","10.1097/CEH.0000000000000510","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194113052&doi=10.1097%2fCEH.0000000000000510&partnerID=40&md5=e1bc9dfabaa3c6f1b505039ddca4b560","Christine E. Lynn College of Nursing, Florida Atlantic University, Boca Raton, FL, United States; College of Nursing, Florida Atlantic University, Boca Raton, FL, United States; The Carolinas Center for Medical Excellence, Cary, NC, United States","Tappen R.M., Christine E. Lynn College of Nursing, Florida Atlantic University, Boca Raton, FL, United States; Sopcheck J., College of Nursing, Florida Atlantic University, Boca Raton, FL, United States; Southard K., The Carolinas Center for Medical Excellence, Cary, NC, United States; Hain D., Christine E. Lynn College of Nursing, Florida Atlantic University, Boca Raton, FL, United States; Suriaga A., Christine E. Lynn College of Nursing, Florida Atlantic University, Boca Raton, FL, United States","Introduction:Medically unnecessary, potentially preventable transfers of nursing home (NH) residents to acute care poses multiple risks for residents. Family and resident insistence on these preventable transfers has not been thoroughly addressed in transfer reduction programs.Methods:The Diffusion of Innovation model guided dissemination of an evidence-based patient decision guide that addressed resident and family insistence on hospital transfer. Twenty workshops were held across eight states of Centers for Medicare and Medicaid Services Region IV. All Medicare-certified NHs in Region IV received emailed invitations to the workshops in their states. Quantitative and qualitative data were collected on workshop attendees, the facilities they represented, and response to the workshop including adoption of the Guide and its effect on hospital readmissions.Results:Altogether, 1124 facility representatives and affiliated professionals attended the workshops. NH administrators rated the program 4.4 out of 5. Of those who responded, 71% said that they were using the Guide as a result of the workshop; 89% of these said that it was helpful, especially to initiate difficult conversations about end-of-life care and to discuss the care a contemporary NH can provide. Readmission rates dropped 30% in the NHs that reported their results.Discussion:The use of the Diffusion of Innovation model was effective in delivering information to a large number of facilities in sufficient detail to implement the Decision Guide. However, the workshop format provided little opportunity to respond to concerns that arose after the workshops, to diffuse the innovation further, or to build sustainability. © 2024 Lippincott Williams and Wilkins. All rights reserved.","Article","Final","","Scopus","2-s2.0-85194113052"
"Zwilling E.; Jeanmougin C.; Cole B.","Zwilling, Elizabeth (58992315600); Jeanmougin, Caitlin (58038493300); Cole, Britt (57219769074)","58992315600; 58038493300; 57219769074","Examining Mentor Perception of Competence in an Academic Peer Mentoring Program","2024","Journal of Continuing Education in the Health Professions","","","","","","","0","10.1097/CEH.0000000000000578","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85207634864&doi=10.1097%2fCEH.0000000000000578&partnerID=40&md5=a3f0b33071b8f716dabcd0eb9d834d0d","Miami University, Oxford, OH, United States","Zwilling E., Miami University, Oxford, OH, United States; Jeanmougin C., Miami University, Oxford, OH, United States; Cole B., Miami University, Oxford, OH, United States","Introduction:Peer mentoring programs can be a valuable support mechanism for new faculty transitioning from clinical practice to academia. Mentors play a crucial role in this process. This study described mentors' perceived competence in 21 areas of the mentor role and their experiences as mentors following the first year of a structured peer mentoring program.Methods:This study employed a mixed-methods approach, using the Mentoring Competency Assessment-21 alongside open-ended questions. These instruments were electronically administered to a convenience sample consisting of eight mentors with varying experience ranging from 2 to 16 years in the nursing program at a mid-sized university, following an intentional first-year peer mentoring program.Results:The highest-performing items were ""Establishing a relationship based on trust""(M 6.50, SD 0.53), ""Considering how personal and professional differences may impact expectations""(M 6.25, 0.83), and ""Acknowledging your mentee's professional contributions""(M 6.13, SD 0.99). The lowest scores were focused on estimating scientific knowledge and scholarly productivity. Responses to the Mentoring Competency Assessment-21 indicated that mentors felt at least moderately competent in the various aspects of the faculty mentor role. Mentors valued the professional development and supporting materials provided by the development team. An identified area for improvement was the support provided to assist the mentees' scholarly development.Discussion:This study underscores the importance of supportive materials, such as handbooks and regular communication, in fostering mentor competence and facilitating successful nursing faculty peer mentoring programs. Future research implications include assessment of mentor competence by mentees and long-Term follow-up of program outcomes.  Copyright © 2024 The Alliance for Continuing Education in the Health Professions, the Association for Hospital Medical Education, and the Society for Academic Continuing Medical Education.","Article","Article in press","","Scopus","2-s2.0-85207634864"
"Turco M.G.; Sockalingam S.; Williams B.","Turco, Mary G. (55539095300); Sockalingam, Sanjeev (9045376800); Williams, Betsy (23011060500)","55539095300; 9045376800; 23011060500","Health Care Professional Distress and Mental Health: A Call to the Continuing Professional Development Community","2024","Journal of Continuing Education in the Health Professions","44","4","","288","292","4","1","10.1097/CEH.0000000000000547","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85210191661&doi=10.1097%2fCEH.0000000000000547&partnerID=40&md5=3284fd5f61a46f94fe96971b575312c7","Department of Medicine, Dartmouth Hitchcock Medical Center, Lebanon, NH, United States; Department of Psychiatry, University of Toronto, Toronto, ON, Canada; Professional Renewal Center®, Director of Continuing Education, Wales Behavioral Assessment, Lawrence, KS, United States","Turco M.G., Department of Medicine, Dartmouth Hitchcock Medical Center, Lebanon, NH, United States; Sockalingam S., Department of Psychiatry, University of Toronto, Toronto, ON, Canada; Williams B., Professional Renewal Center®, Director of Continuing Education, Wales Behavioral Assessment, Lawrence, KS, United States","COVID-19 unleashed a maelstrom of distress on health care professionals. The pandemic contributed to a host of stressors for workers because of the need for rapid acquisition of new knowledge and skills to provide best treatment while simultaneously dealing with personal safety, limited resources, staffing shortages, and access to care issues. Concurrently, problems with systemic racial inequality and discrimination became more apparent secondary to difficulties with accessing health care for minorities and other marginalized groups. These problems contributed to many health care professionals experiencing severe moral injury and burnout as they struggled to uphold core values and do their jobs professionally. Some left or disengaged. Others died. As continuing professional development leaders focused on all health professionals, we must act deliberately to address health care professionals’ distress and mental health. We must incorporate wellness and mental health as organizing principles in all we do. We must adopt a new mental model that recognizes the importance of learners’ biopsychosocial functioning and commit to learners’ wellness by developing activities that embrace a biopsychosocial point of view. As educators and influencers, we must demonstrate that the Institute for Healthcare Improvement’s fourth aim to improve clinician well-being and safety (2014) and fifth aim to address health equity and the social determinants of health (2021) matter. It is crucial that continuing professional development leaders globally use their resources and relationships to accomplish this imperative call for action. © 2024 The Alliance for Continuing Education in the Health Professions, the Association for Hospital Medical Education, and the Society for Academic Continuing Medical Education.","Article","Final","","Scopus","2-s2.0-85210191661"
"Sharoha N.; Petti A.; Banner B.; Perlmutter I.","Sharoha, Nidhi (57221171550); Petti, Anna (59304836800); Banner, Bethany (59304993300); Perlmutter, Ilisse (59304241300)","57221171550; 59304836800; 59304993300; 59304241300","Professional Development Program for New Psychiatry Graduates in an Outpatient Telepsychiatry Practice","2024","Journal of Continuing Education in the Health Professions","","","10.1097/CEH.0000000000000575","","","","0","10.1097/CEH.0000000000000575","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202538899&doi=10.1097%2fCEH.0000000000000575&partnerID=40&md5=ef40f99938ae29d477f24805b5f645a2","Talkiatry, New York, NY, United States","Sharoha N., Talkiatry, New York, NY, United States; Petti A., Talkiatry, New York, NY, United States; Banner B., Talkiatry, New York, NY, United States; Perlmutter I., Talkiatry, New York, NY, United States","Telehealth has grown in recent years and with it, the need for educational interventions for new graduates entering this practice environment. This article evaluates a six-month professional development program designed to help psychiatrists joining our practice directly out of training acclimate to independent practice and the telepsychiatry setting. Our New Graduate Development Program included advisory sessions, lectures, board preparation, and flash mentorship for 87 new graduates who joined our telepsychiatry practice between July and December 2022. An anonymous retrospective pre-/postsurvey evaluated the efficacy of each component on a five-point Likert scale and a 10-point interval scale. Twenty-three percent of new graduates completed the survey. After participating in the program, 94.40% of respondents indicated that the program helped them acclimate to our practice, prepared them for independent practice, and enhanced their competence in telepsychiatry; 82.35% of respondents agreed that the program improved their performance as a new psychiatrist. The New Graduate Development Program helped participants acclimate to independent practice and the telepsychiatry setting; however, some revisions to our approach are needed for future iterations of the program. Copyright © 2024 The Alliance for Continuing Education in the Health Professions, the Association for Hospital Medical Education, and the Society for Academic Continuing Medical Education.","Article","Article in press","","Scopus","2-s2.0-85202538899"
"Latchem-Hastings J.; Latchem-Hastings G.; Kitzinger J.","Latchem-Hastings, Julie (57222497452); Latchem-Hastings, Geraldine (57209257907); Kitzinger, Jenny (6701694409)","57222497452; 57209257907; 6701694409","Caring for People with Severe Brain Injuries: Improving Health Care Professional Communication and Practice Through Online Learning","2023","Journal of Continuing Education in the Health Professions","43","4","","267","273","6","1","10.1097/CEH.0000000000000486","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178498748&doi=10.1097%2fCEH.0000000000000486&partnerID=40&md5=dd50a5fe8fe0bd73e829c70dcc29d11d","School of Healthcare Sciences, College of Biomedical & Life Sciences, Cardiff University, Eastgate House, Cardiff, United Kingdom; School of Healthcare Sciences, Cardiff University, Ty Dewi Sant, University Hospital of Wales, Heath Park, Cardiff, United Kingdom; Journalism, Media and Cultural Studies, Cardiff University, Two Central Square, Central Square, Cardiff, United Kingdom","Latchem-Hastings J., School of Healthcare Sciences, College of Biomedical & Life Sciences, Cardiff University, Eastgate House, Cardiff, United Kingdom; Latchem-Hastings G., School of Healthcare Sciences, Cardiff University, Ty Dewi Sant, University Hospital of Wales, Heath Park, Cardiff, United Kingdom; Kitzinger J., Journalism, Media and Cultural Studies, Cardiff University, Two Central Square, Central Square, Cardiff, United Kingdom","Introduction: Severe brain injuries can leave people in prolonged disorder of consciousness resulting in multifaceted medical, nursing, and rehabilitative needs that can be challenging for even the most experienced multidisciplinary team. The complexities of care, communication with families, and best interest decision-making about medical interventions means there is a need for ongoing training in clinical, social, ethical, and legal aspects. Methods: Using a combination of group discussions, interviews, and questionnaires with learners, this article reports an evaluation of designing and delivering an interprofessional, online work-based course to health care professionals caring for prolonged disorder of consciousness patients. Results: There were challenges for staff uptake because of COVID-19, but engaging with it increased knowledge in defining and diagnosing patients’ conditions, understanding multidisciplinary team roles, communicating with families, and navigating legal and ethical issues. Course participation also enhanced critical and reflective thinking skills, provided a sense of connection to other professionals, and generated plans to improve service provision. Discussion: Online learning that enables health care professionals to engage at their own pace and also come together as an interprofessional community can provide invaluable continuing professional development and help to enhance joined up, holistic patient care. However, achieving this requires significant investment in creating research-led, multimedia, learning materials, and courses that include synchronous and asynchronous delivery to combine flexible study with the opportunity for peer networks to form. It also depends on a commitment from organizations to support staff online continuing professional development. © 2023 Lippincott Williams and Wilkins. All rights reserved.","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85178498748"
