group,source,id
meded,"Academic Medicine",s19793444
meded,"Medical Education",S54816476
meded,"Medical Teacher",S135934248
meded,"BMC Medical Education",s144187503
meded,"Advances in Health Sciences Education",S129194695
econ,"The Quarterly Journal of Economics",s203860005
econ,"The Review of Economic Studies",s88935262
econ,"American Economic Review",s23254222
econ,"The Journal of Finance",s5353659
econ,"Econometrica",s95464858
econ,"Journal of Financial Economics",s149240962
econ,"Annual Review of Economics",s196715598
econ,"Review of Financial Studies",s170137484
econ,"Journal of Economic Literature",s127708089
econ,"Journal of Political Economy",s95323914
econ,"American Economic Journal Macroeconomics",s170166683
econ,"Journal of Marketing",s142990027
econ,"NBER Macroeconomics Annual",s127060114
econ,"Journal of Consumer Research",s145429826
econ,"Review of Finance",s131117787
econ,"Journal of Accounting Research",s111116695
econ,"American Economic Journal Applied Economics",s42893225
econ,"The Review of Economics and Statistics",s180061323
econ,"Journal of Accounting and Economics",s62142384
econ,"Marketing Science",s163534328
