,Author ID,Position,Country,Continent,Author name,Organization,Code,Region,Income group
0,6503867142,Co-author,USA,North America,Nassery N.,"General Internal Medicine, Johns Hopkins Bayview Medical Center",USA,North America,High income
1,6503873312,Co-author,USA,North America,Wyskiel R.,"Armstrong Institute for Patient Safety and Quality, Johns Hopkins Medicine, Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine",USA,North America,High income
2,6503895771,Co-author,USA,North America,Tropello S.,"Armstrong Institute for Patient Safety and Quality, Johns Hopkins Medicine, Department of Anesthesiology and Critical Care Medicine, Johns Hopkins University School of Medicine",USA,North America,High income
3,6503898246,First Author,IRN,Asia,Changiz T.,"Department of Medical Education, Medical Education Research Center, Isfahan University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
4,6503903582,Co-author,GHA,Africa,Srofenyoh E.,Greater Accra Regional Hospital,GHA,Sub-Saharan Africa,Lower middle income
5,6503904629,First Author,CAN,North America,Sanatani M.,"Division of Medical Oncology, Department of Oncology, Schulich School of Dentistry & Medicine, Western University, Room A3-915",CAN,North America,High income
6,6503911543,Co-author,FRA,Europe,Gineste Y.,"Department of Geriatric Medicine, National Hospital Organization Tokyo Medical Center",FRA,Europe & Central Asia,High income
7,6503920075,Co-author,ITA,Europe,Martoni M.,"Department of Experimental, Diagnostic and Specialty Medicine, DIMES, Alma Mater Studiorum - University of Bologna",ITA,Europe & Central Asia,High income
8,6503929112,Co-author,SVK,Europe,Falougy H.E.,"Institute of Anatomy, Faculty of Medicine, Comenius University",SVK,Europe & Central Asia,High income
9,6503929350,Co-author,USA,North America,Thamman R.,"University of Pittsburgh, School of Medicine",USA,North America,High income
10,6503931519,First Author,USA,North America,Borman-Shoap E.,"Department of Pediatrics, University of Minnesota Medical School",USA,North America,High income
11,6503938946,Co-author,USA,North America,Ozark L.,"Department of Internal Medicine, Loyola University Medical Center",USA,North America,High income
12,6503961622,First Author,USA,North America,Vasilevskis E.E.,"Section of Hospital Medicine, Division of General Internal Medicine and Public Health, Vanderbilt University, Geriatric Research, Education and Clinical Center, GRECC, VA Tennessee Valley Health Care System",USA,North America,High income
13,6503987526,Co-author,JOR,Asia,Tarawneh R.,The University of Jordan,JOR,Middle East & North Africa,Lower middle income
14,6503994296,Co-author,USA,North America,Taravati P.,"Department of Ophthalmology, University of Washington School of Medicine",USA,North America,High income
15,6504000279,First Author,CAN,North America,Ladonna K.A.,"Department of Innovation in Medical Education, Lead - Qualitative Education Research, Faculty of Medicine, University of Ottawa, ON",CAN,North America,High income
16,6504009303,Co-author,HUN,Europe,Fritúz G.,"Semmelweis University, Department of Anaesthesiology and Intensive Therapy, Semmelweis University",HUN,Europe & Central Asia,High income
17,6504050261,Co-author,USA,North America,Pergam S.A.,"Seattle Cancer Care Alliance, Division of Allergy and Infectious Diseases, Department of Medicine, University of Washington School of Medicine",USA,North America,High income
18,6504056869,Co-author,IRN,Asia,Majd H.A.,"Department of Biostatistics, School of Allied Medical Sciences, Shahid Beheshti University of Medical Sciences",IRN,Middle East & North Africa,Upper middle income
19,6504060030,First Author,BGD,Asia,Dossajee H.,"Kenya Medical Research Institute, KEMRI",BGD,South Asia,Lower middle income
20,6504062015,Co-author,USA,North America,Spychal B.,Department of Surgery,USA,North America,High income
21,6504082055,First Author,USA,North America,Perumalswami C.R.,"Center For Bioethics And Social Sciences In Medicine, University Of Michigan",USA,North America,High income
22,6504082597,Co-author,NGA,Africa,Adekoya S.,Olabisi Onabanjo University,NGA,Sub-Saharan Africa,Lower middle income
23,6504122706,Co-author,USA,North America,Ferwana M.,University for Health Sciences,USA,North America,High income
24,6504139598,Co-author,GBR,Europe,Ganesananthan S.,"Chelsea, Westminister Hospital NHS Foundation Trust",GBR,Europe & Central Asia,High income
25,6504141222,Co-author,SAU,Asia,Irfan F.,"King Saud University, Medical Education Research and Development, Department of Family and Community Medicine, College of Medicine, King Saud University",SAU,Middle East & North Africa,High income
26,6504143605,Co-author,CAN,North America,Kopansky-Giles D.,"Department of Research, Canadian Memorial Chiropractic College",CAN,North America,High income
27,6504148317,Co-author,CAN,North America,Latchman A.,"Department of Pediatrics, McMaster University",CAN,North America,High income
28,6504151229,Co-author,DNK,Europe,Musaeus P.,"Centre for Educational Development, CED, Aarhus University",DNK,Europe & Central Asia,High income
29,6504152360,Co-author,ESP,Europe,Cuadrado-Cenzual M.A.,"Department of Medicine, Complutense University",ESP,Europe & Central Asia,High income
